AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
6.0,30.0,13.0,41.0,14.0,22.0,58.0,31.0,2.0,13.0,16.0,43.0,60.0,50.0,16.0,489.0,25.0,1.0,3.0,2.0,33.0,36.0,17.0,1.0,16.0,8.0,14.0
5.0,35.0,15.0,36.0,12.0,13.0,48.0,44.0,1.0,24.0,27.0,35.0,67.0,60.0,13.0,485.0,35.0,5.0,3.0,10.0,42.0,52.0,14.0,0.0,10.0,10.0,6.0
5.0,29.0,12.0,52.0,10.0,16.0,50.0,29.0,3.0,10.0,15.0,49.0,46.0,35.0,15.0,507.0,35.0,3.0,4.0,9.0,33.0,39.0,6.0,2.0,17.0,9.0,11.0
6.0,37.0,14.0,51.0,19.0,26.0,55.0,35.0,1.0,12.0,16.0,42.0,39.0,44.0,9.0,533.0,33.0,5.0,3.0,6.0,45.0,28.0,10.0,0.0,12.0,7.0,8.0
7.0,31.0,6.0,43.0,18.0,26.0,38.0,35.0,2.0,16.0,14.0,45.0,59.0,44.0,9.0,523.0,24.0,3.0,3.0,6.0,41.0,34.0,7.0,0.0,16.0,10.0,5.0
3.0,30.0,12.0,48.0,13.0,21.0,36.0,34.0,2.0,20.0,17.0,35.0,49.0,40.0,14.0,503.0,31.0,5.0,5.0,2.0,32.0,30.0,15.0,1.0,8.0,6.0,10.0
3.0,26.0,8.0,41.0,12.0,17.0,57.0,44.0,3.0,15.0,17.0,33.0,48.0,53.0,10.0,497.0,34.0,2.0,5.0,9.0,39.0,44.0,17.0,0.0,13.0,7.0,14.0
1.0,34.0,7.0,40.0,8.0,16.0,35.0,41.0,3.0,7.0,13.0,39.0,41.0,44.0,8.0,527.0,19.0,4.0,1.0,10.0,31.0,53.0,14.0,0.0,10.0,8.0,7.0
4.0,23.0,8.0,31.0,14.0,34.0,48.0,36.0,3.0,7.0,10.0,46.0,35.0,52.0,17.0,537.0,26.0,0.0,3.0,7.0,37.0,41.0,8.0,0.0,16.0,7.0,14.0
1.0,32.0,9.0,35.0,20.0,23.0,48.0,39.0,3.0,15.0,13.0,47.0,46.0,51.0,11.0,526.0,28.0,6.0,2.0,8.0,34.0,36.0,7.0,0.0,15.0,10.0,8.0
